t,count
1504532437,76
1504532438,88
1504532439,100
1504532440,112
1504532441,124
1504532442,136
1504532443,148
1504532444,160
1504532445,172
1504532446,184
1504532447,196
1504532448,208
1504532449,220
1504532450,232
1504532451,244
1504532452,256
1504532453,268
1504532454,280
1504532479,0
1504532480,0
1504532481,0
1504532482,10
1504532483,22
1504532484,34
1504532485,46
1504532486,58
1504532487,70
1504532488,82
1504532489,94
1504532490,106
1504532537,0
1504532538,0
1504532539,0
1504532540,4
1504532541,16
1504532542,28
1504532543,40
1504532544,52
1504532545,64
1504532546,76
1504532547,88
1504532548,100
1504532982,0
1504532983,0
1504532984,0
1504532985,8
1504532986,20
1504532987,32
1504532988,44
1504532989,56
1504532990,68
1504532991,80
1504532992,92
1504532993,104
1504532994,116
1504532995,128
1504532996,140
1504532997,152
1504532998,164
1504532999,176
1504533000,188
1504533001,200
1504533002,212
1504533003,224
1504533004,236
1504533005,248
1504533006,260
1504533007,272
1504533008,284
1504533562,0
1504533563,0
1504533564,0
1504533565,10
1504533566,22
1504533567,34
1504533568,46
1504533569,58
1504533570,70
1504533571,82
1504533572,94
1504533573,106
1504533574,118
1504533575,130
1504533576,142
1504533577,154
1504533578,166
1504533579,178
1504533580,190
1504533581,201
1504533582,214
1504533583,226
1504533584,237
1504533585,249
1504533586,261
1504533587,273
1504533588,286
1504533632,0
1504533633,0
1504533656,0
1504533656,0
1504533656,0
1504533656,0
1504533656,0
1504533656,0
1504533656,0
1504533656,0
1504533656,0
1504533656,0
1504533656,0
1504534327,0
1504534328,0
1504534329,0
1504534330,4
1504534331,16
1504534332,28
1504534333,40
1504534334,52
1504534335,64
1504534336,76
1504534337,88
1504534338,100
1504534339,112
1504534340,124
1504534341,136
1504534342,148
1504534343,160
1504534344,172
1504534345,184
1504534346,196
1504534347,208
1504534348,220
1504534349,232
1504534350,244
1504534351,256
1504534352,268
1504534353,280
1504589987,0
1504589988,0
1504589989,0
1504589990,1
1504589991,3
1504589992,5
1504589993,7
1504589994,9
1504589995,11
1504589996,13
1504589997,15
1504589998,17
1504589999,19
1504590000,21
1504590001,23
1504590002,25
1504590003,27
1504590004,29
1504590005,31
1504590006,33
1504590007,35
1504590008,37
1504590009,39
1504590010,41
1504590011,43
1504590012,45
1504590013,47
1504590014,49
1504590015,51
1504590016,53
1504590017,55
1504590018,57
1504590019,59
1504590020,61
1504590021,63
1504590022,65
1504590023,67
1504590024,69
1504590025,71
1504590026,73
1504592609,0
1504592610,0
1504592611,0
1504592612,0
1504592613,2
1504592614,4
1504592615,6
1504592616,8
1504592617,10
1504592618,12
1504592619,14
1504592620,16
1504592621,18
1504592622,20
1504592623,22
1504592624,24
1504592625,26
1504592626,28
1504592627,30
1504592628,32
1504592629,34
1504592630,36
1504592631,38
1504592666,0
1504592667,0
1504592668,0
1504592669,0
1504592670,2
1504592671,4
1504592672,6
1504592673,8
1504592674,10
1504592675,12
1504592676,14
1504592677,16
1504592678,18
1504592679,20
1504592680,22
1504592681,24
1504592682,26
1504592683,28
1504592684,30
1504592685,32
1504592686,34
1504592687,36
1504592688,38
1504592689,40
1504592690,42
1504592691,44
1504592692,46
1504592693,48
1504592694,50
1504592695,52
1504592696,54
1504592697,56
1504592698,58
1504592699,60
1504592700,62
1504592701,64
1504592702,66
1504592703,68
1504592704,70
1504592900,0
1504592901,0
1504592902,0
1504592903,1
1504592904,3
1504592905,5
1504592906,7
1504592907,9
1504592908,11
1504592909,13
1504592910,15
1504592911,17
1504592912,19
1504592913,21
1504592914,23
1504592915,25
1504592916,27
1504592917,29
1504592918,31
1504592919,33
1504592920,35
1504592921,37
1504592922,39
1504592923,41
1504592924,43
1504592925,45
1504592926,47
1504592927,49
1504592928,51
1504592929,53
1504592930,55
1504592931,57
1504592932,59
1504592933,61
1504592934,63
1504592935,65
1504592936,67
1504592937,69
1504592938,71
1504592939,73
1504595766,0
1504595767,0
1504595768,0
1504595769,1
1504595770,3
1504595771,5
1504595772,7
1504595773,9
1504595774,11
1504595775,13
1504595776,15
1504595777,17
1504595778,19
1504595779,21
1504595780,23
1504595781,25
1504595782,27
1504595783,29
1504595784,31
1504595785,33
1504595786,35
1504595787,37
1504595788,39
1504595789,41
1504595790,43
1504595791,45
1504595792,47
1504595793,49
1504595794,51
1504595795,53
1504595796,55
1504595797,57
1504595798,59
1504595799,61
1504595800,63
1504595801,65
1504595802,67
1504595803,69
1504595804,71
1504595805,73
1504598410,0
1504598411,0
1504598412,0
1504598413,0
1504598414,2
1504598415,5
1504598416,7
1504598417,9
1504598418,11
1504598419,13
1504598420,15
1504598421,17
1504598422,19
1504598423,21
1504598424,23
1504598425,25
1504598426,27
1504598427,29
1504598428,31
1504598429,33
1504598430,35
1504598431,37
1504598432,39
1504598433,41
1504598434,43
1504598435,45
1504598436,46
1504598437,49
1504598438,51
1504598439,53
1504598440,55
1504598441,57
1504598442,59
1504598443,61
1504598444,63
1504598445,65
1504598446,67
1504598447,69
1504598448,71
1504598449,73
1504598450,75
1504598451,77
1504598452,79
1504598453,81
1504598454,83
1504598455,85
1504598456,87
1504598457,89
1504598458,91
1504598459,93
1504598460,95
1504598461,97
1504598462,99
1504598463,101
1504598464,103
1504598465,105
1504598466,107
1504598467,109
1504598468,111
1504598469,113
1504598470,115
1504598471,117
1504598472,119
1504598473,121
1504598474,123
1504598475,125
1504598476,127
1504598477,129
1504598478,131
1504598479,133
1504598480,135
1504598481,137
1504598482,139
1504598483,141
1504598484,143
1504598485,145
1504598486,147
1504598487,149
1504598488,151
1504598489,153
1504598490,155
1504598491,157
1504598492,159
1504598493,161
1504598494,163
1504598495,165
1504598496,167
1504598497,169
1504598498,171
1504598499,173
1504598500,175
1504598501,177
1504598502,179
1504598503,181
1504598504,183
1504598505,185
1504598506,187
1504598507,189
1504598508,191
1504598509,193
1504598510,195
1504598511,197
1504598512,199
1504598513,201
1504598514,203
1504598515,205
1504598516,207
1504598517,209
1504598518,211
1504598519,213
1504598520,215
1504598521,217
1504598522,219
1504598523,221
1504598524,223
1504598525,225
1504598526,227
1504598527,229
1504598528,231
1504598529,233
1504598530,235
1504598531,237
1504598532,239
1504598533,241
1504598534,243
1504598535,245
1504598536,247
1504598537,249
1504598538,251
1504598539,253
1504598540,255
1504598541,257
1504598542,259
1504598543,261
1504598544,263
1504598545,265
1504598546,267
1504598547,269
1504598548,271
1504598549,273
1504598550,275
1504598551,277
1504598552,279
1504598553,281
1504598554,283
1504598555,285
1504598556,287
1504598557,289
1504598558,291
1504598559,293
1504598560,295
1504598561,297
1504598562,299
1504598563,301
1504598564,303
1504598565,305
1504598566,307
1504598567,309
1504598568,311
1504598569,313
1504598570,315
1504598571,317
1504598572,319
1504598573,321
1504598574,323
1504598575,325
1504598576,327
1504598577,329
1504598578,331
1504598579,333
1504598580,335
1504598581,337
1504598582,339
1504598583,341
1504598584,343
1504598585,345
1504598586,347
1504598587,349
1504598588,351
1504598589,353
1504598590,355
1504598591,357
1504598592,359
1504598593,361
1504598594,363
1504598595,365
1504598596,367
1504598597,369
1504598598,371
1504598599,373
1504598600,375
1504598601,377
1504598602,379
1504598603,381
1504598604,383
1504598605,385
1504598606,387
1504598607,389
1504598608,391
1504598609,393
1504598610,395
1504598611,397
1504598612,399
1504598728,0
1504598729,0
1504598730,0
1504598731,1
1504598732,3
1504598733,5
1504598734,7
1504598735,9
1504598736,11
1504598737,13
1504598738,15
1504598739,17
1504598740,19
1504598741,21
1504598742,23
1504598743,25
1504598744,27
1504598745,29
1504598746,31
1504598747,33
1504598748,35
1504598749,37
1504598750,39
1504598751,41
1504598752,43
1504598753,45
1504598754,47
1504598755,49
1504598756,51
1504598757,53
1504598758,55
1504598759,57
1504598760,59
1504598761,61
1504598762,63
1504598763,65
1504598764,67
1504598765,69
1504598766,71
1504598767,73
1504598768,75
1504598769,77
1504598770,79
1504598771,81
1504598772,83
1504598773,85
1504598774,87
1504598775,89
1504598776,91
1504598777,93
1504598778,95
1504598779,97
1504598780,99
1504598781,101
1504598782,103
1504598783,105
1504598784,107
1504598785,109
1504598786,111
1504598787,113
1504598788,115
1504598789,117
1504598790,119
1504598791,121
1504598792,123
1504598793,125
1504598794,127
1504598795,129
1504598796,131
1504598797,133
1504598798,135
1504598799,137
1504598800,139
1504598801,141
1504598802,143
1504598803,145
1504598804,147
1504598805,149
1504598806,151
1504598807,153
1504598808,155
1504598809,157
1504598810,159
1504598811,161
1504598812,163
1504598813,165
1504598814,167
1504598815,169
1504598816,171
1504598817,173
1504598818,175
1504598819,177
1504598820,179
1504598821,181
1504598822,183
1504598823,185
1504598824,187
1504598825,189
1504598826,191
1504598827,193
1504598828,195
1504598829,197
1504598830,199
1504598831,201
1504598832,203
1504598833,205
1504598834,207
1504598835,209
1504598836,211
1504598837,213
1504598838,215
1504598839,217
1504598840,219
1504598841,221
1504598842,223
1504598843,225
1504598844,227
1504598845,229
1504598846,231
1504598847,233
1504598848,235
1504598849,237
1504598850,239
1504598851,241
1504598852,243
1504598853,245
1504598854,247
1504598855,249
1504598856,251
1504598857,253
1504598858,255
1504598859,257
1504598860,259
1504598861,261
1504598862,263
1504598863,265
1504598864,267
1504598865,269
1504598866,271
1504598867,273
1504598868,275
1504598869,277
1504598870,279
1504598871,281
1504598872,283
1504598873,285
1504598874,287
1504598875,289
1504598876,291
1504598877,293
1504598878,295
1504598879,297
1504598880,299
1504598881,301
1504598882,303
1504598883,305
1504598884,307
1504598885,309
1504598886,311
1504598887,313
1504598888,315
1504598889,317
1504598890,319
1504598891,321
1504598892,323
1504598893,325
1504598894,327
1504598895,329
1504598896,331
1504598897,333
1504598898,335
1504598899,337
1504598900,339
1504598901,341
1504598902,343
1504598903,345
1504598904,347
1504598905,349
1504598906,351
1504598907,353
1504598908,355
1504598909,357
1504598910,359
1504598911,361
1504598912,363
1504598913,365
1504598914,367
1504598915,369
1504598927,0
1504598928,0
1504598930,0
1504598930,0
1504598931,0
1504598932,1
1504598933,3
1504598934,5
1504598935,7
1504598936,9
1504598937,11
1504598938,13
1504598939,15
1504598940,17
1504598941,19
1504598942,21
1504598943,23
1504598944,25
1504598947,28
1504598948,28
1504598950,31
1504598956,34
1504598957,36
1504598958,38
1504598962,41
1504598962,41
1504598963,43
1504598971,44
1504598971,44
1504598971,46
1504598972,48
1504598973,50
1504598973,50
1504598973,50
1504598973,50
1504598973,53
1504598976,53
1504598978,55
1504598994,60
1504598994,60
1504598997,62
1504598997,62
1504598997,62
1504598997,62
1504598997,62
1504598997,62
1504598997,62
1504598997,62
1504598997,62
1504598997,62
1504598997,62
1504598997,62
1504598997,62
1504598997,62
1504598997,62
1504598997,62
1504598997,62
1504598997,62
1504598997,62
1504598997,62
1504598997,62
1504598997,62
1504598998,62
1504598998,62
1504598998,62
1504598998,62
1504598998,62
1504598998,62
1504598998,62
1504598998,62
1504598998,62
1504598998,63
1504598999,65
1504599000,67
1504599001,69
1504599002,71
1504599003,73
1504599004,75
