t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1504510663,1,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504510664,2,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504510665,3,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504510666,4,437971,109492.750000,0,218985.500000,0.000000,328478.250000,437971.000000,437971.000000,437971.000000,437971.000000
1504510667,5,437971,175188.400000,0,239886.596233,0.000000,437971.000000,437971.000000,437971.000000,437971.000000,437971.000000
1504510668,6,437971,218985.500000,0,239886.596233,218985.500000,437971.000000,437971.000000,437971.000000,437971.000000,437971.000000
1504510669,7,437971,250269.142857,0,234105.346763,437971.000000,437971.000000,437971.000000,437971.000000,437971.000000,437971.000000
1504510670,8,437971,273731.875000,0,226671.527318,437971.000000,437971.000000,437971.000000,437971.000000,437971.000000,437971.000000
1504510671,9,437971,291980.666667,0,218985.500000,437971.000000,437971.000000,437971.000000,437971.000000,437971.000000,437971.000000
1504510672,10,437971,306579.700000,0,211560.092164,437971.000000,437971.000000,437971.000000,437971.000000,437971.000000,437971.000000
1504510673,11,437971,318524.363636,0,204575.976644,437971.000000,437971.000000,437971.000000,437971.000000,437971.000000,437971.000000
1504510674,12,437971,328478.250000,0,198079.837644,437971.000000,437971.000000,437971.000000,437971.000000,437971.000000,437971.000000
1504510728,1,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504510729,2,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504510730,3,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504510731,4,450421,112605.250000,0,225210.500000,0.000000,337815.750000,450421.000000,450421.000000,450421.000000,450421.000000
1504510732,5,450421,180168.400000,0,246705.742074,0.000000,450421.000000,450421.000000,450421.000000,450421.000000,450421.000000
1504510733,6,450421,225210.500000,0,246705.742074,225210.500000,450421.000000,450421.000000,450421.000000,450421.000000,450421.000000
1504510734,7,450421,257383.428571,0,240760.151687,450421.000000,450421.000000,450421.000000,450421.000000,450421.000000,450421.000000
1504510735,8,450421,281513.125000,0,233115.014478,450421.000000,450421.000000,450421.000000,450421.000000,450421.000000,450421.000000
1504510736,9,450421,300280.666667,0,225210.500000,450421.000000,450421.000000,450421.000000,450421.000000,450421.000000,450421.000000
1504510741,14,450421,353902.214286,0,191796.159379,450421.000000,450421.000000,450421.000000,450421.000000,450421.000000,450421.000000
1504510741,14,450421,353902.214286,0,191796.159379,450421.000000,450421.000000,450421.000000,450421.000000,450421.000000,450421.000000
1504510741,14,450421,353902.214286,0,191796.159379,450421.000000,450421.000000,450421.000000,450421.000000,450421.000000,450421.000000
1504510741,14,450421,353902.214286,0,191796.159379,450421.000000,450421.000000,450421.000000,450421.000000,450421.000000,450421.000000
1504510742,15,450421,360336.800000,0,186492.011583,450421.000000,450421.000000,450421.000000,450421.000000,450421.000000,450421.000000
1504510745,23,450421,391670.434783,0,155102.571152,450421.000000,450421.000000,450421.000000,450421.000000,450421.000000,450421.000000
1504510750,23,450421,391670.434783,0,155102.571152,450421.000000,450421.000000,450421.000000,450421.000000,450421.000000,450421.000000
1504510750,23,450421,391670.434783,0,155102.571152,450421.000000,450421.000000,450421.000000,450421.000000,450421.000000,450421.000000
1504510751,24,450421,394118.375000,0,152166.610312,450421.000000,450421.000000,450421.000000,450421.000000,450421.000000,450421.000000
1504510751,24,450421,394118.375000,0,152166.610312,450421.000000,450421.000000,450421.000000,450421.000000,450421.000000,450421.000000
1504510751,24,450421,394118.375000,0,152166.610312,450421.000000,450421.000000,450421.000000,450421.000000,450421.000000,450421.000000
1504510751,24,450421,394118.375000,0,152166.610312,450421.000000,450421.000000,450421.000000,450421.000000,450421.000000,450421.000000
1504510751,24,450421,394118.375000,0,152166.610312,450421.000000,450421.000000,450421.000000,450421.000000,450421.000000,450421.000000
1504510751,24,450421,394118.375000,0,152166.610312,450421.000000,450421.000000,450421.000000,450421.000000,450421.000000,450421.000000
1504510752,25,450421,396370.480000,0,149387.745470,450421.000000,450421.000000,450421.000000,450421.000000,450421.000000,450421.000000
1504510753,26,450421,398449.346154,0,146752.834226,450421.000000,450421.000000,450421.000000,450421.000000,450421.000000,450421.000000
1504510754,27,450421,400374.222222,0,144250.166330,450421.000000,450421.000000,450421.000000,450421.000000,450421.000000,450421.000000
